Site	Latitude	Longitude	Location	Country	Province	Material	Bibliography
San Pedro	38.943849	-6.188445	5 km from Mérida	Spain	Lusitania	Marble; used locally in the RomanImperial period	Canto 1977-1978: 179
Sant Martíd’Empúries	42.139446	3.118002	Just north of L’Escala, near Empúries	Spain	Tarraconensis	Limestone (pedra d’Empúries), used locally in the Roman period	Gutiérrez 2009: 33–6
Sant Vincenç deCastellet	41.665569	1.863249	Barcelona province	Spain	Tarraconensis	Sandstone (Sant Vincenç); used locally in the Roman Imperial period	Cisneros Cunchillos 1988; Gutiérrez2009: 253
Sant'Ambrogio deValpolicella	45.522778	10.837778	In the Lessini mountains, just east of Lake Garda	Italy	Italia X	Fine white marble; used locally in theRoman Imperial period	Braemer 2004; Roffia, Bugini andFolli 2009
Santa Maria de laAlbaida	37.913048	-4.853469	North-east of Corduba	Spain	Baetica	Limestone, used locally in the Roman period	Gutiérrez Deza 2012
São Brissos	38.071667	-7.946944	Eastern Portugal	Portugal	Lusitania	Limestone; used locally and exported regionally in the Roman period	Dworakowska 1983: 14-15
Sarafand	33.445122	35.278380	Ancient Sarepta, 20 km north of Tyre	Lebanon	Syria	Gypsum, limestone and sandstone, used locally in the Roman period	Badawi 2002
Sardis	38.487222	28.038611	In the lower Hermos valley, Lydia	Turkey	Asia	Marble; used locally from the Archaic period	Waelkens, de Paepe and Moens 1986
Sarno Valley	40.754894	14.517085	East of Pompeii	Italy	Italia I	Travertine (so-called ‘Sarno Limestone’), used locally in the Roman period	Kastenmeier et al. 2010
Sarp	43.015833	0.589722	South of St-Bertrand	France	Aquitania	Marble; used locally in the Roman Imperial period and exported regionally	Costedoat 1995b
Sarrancolin	42.966389	0.376389	North of Arreau in the central Pyrenees	France	Aquitania	Marble; used locally in the Roman Imperial period and exported regionally	Bedon 1984: 66, 76
Sattendorf	46.664470	13.919091	Just east of Puch, nearGummern	Austria	Noricum	White marble; used locally in theRoman Imperial period	Djurić 1997
Savonnières-en- Perthois	48.613927	5.127952	South of Bar-le-Duc	France	Lugdunensis / Belgica	Limestone; used locally in the RomanImperial period	Bedon 1984: 50-51
Schaidberg	47.249809	13.572248	Northern Carinthia	Austria	Noricum	White marble; used locally in theRoman Imperial period	Djurić 1997
Schweppenburg	50.466742	7.305396	In the Brohl valley	Germany	GermaniaSuperior	Tuff; used locally in the RomanImperial period	Bedon 1984: 39, 213-217
Segorbe	39.853497	-0.486710	Castellón province	Spain	Tarraconensis	Limestone; used locally in the RomanImperial period	Cisneros Cunchillos 1988
Seix	42.863889	1.200278	South of St-Girons	France	Aquitania	Marble; used locally in the Roman Imperial period and exported regionally	Bedon 1984: 67
Sekull	46.580479	14.159540	West of Klagenfurt	Austria	Noricum	White marble, used locally and exported regionally in the Roman period	Djurić and Müller 2009
Selge	37.228333	31.127500	In the territory of Selge, Pisidia	Turkey	Lycia et Pamphylia / Pisidia	Grey-white limestone; used locally in the Roman Imperial period and probably earlier	Machatschek and Schwartz 1980
Selsey Bill	50.722500	-0.787500	West Sussex	Britain	Britannia	Limestone; used locally in the Roman Imperial period and exported regionally	Blagg 1990
Seravezza	43.994722	10.227222	South of Carrara	Italy	Italia VII	Violet breccia marble (breccia di Serravezza antica) with white, grey- blue, red and pink shades; exported regionally in the Roman period	Mielsch 1985: 51; Gnoli 1988: 240-241; Lazzarini and Sangati 2004: 76-77; Bruno 2002b
Serranía deRonda	36.740546	-5.165250	Near Ronda, 36 km north-west of Marbella	Spain	Baetica	Pink-red breccia, used locally and exported regionally in the Roman period	Beltrán et al. 2012
Servian	43.426944	3.299167	North-east of Béziers	France	Narbonensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 33-34
Sestrunj	44.160191	14.988730	In the Zadar islands	Croatia	Dalmatia	Limestone; used locally in the RomanImperial period	Škegro 2006: 161-162
Settecamini	41.941389	12.628056	Along the Aniene nearSalone	Italy	Italia I	Tuff (tufo lionato or tufo dell'Aniene); used locally from the Republican period, primarily at Rome	Jackson and Marra 2006
Shawk	54.844430	-2.985972	Near Dalstone, south- east of Carlisle, Cumbria	Britain	Britannia	Limestone; used locally in the Roman Imperial period, notably for construction along Hadrian's Wall	Pearson 2006; Collingwood andWright 1965
Sheikh Ibada	27.834444	30.851944	Ancient Antinoopolis	Egypt	Aegyptus	White-grey limestone; used locally from the Pharaonic period but most intensively in the Roman Imperial period, after the founding of Antinoopolis	Klemm and Klemm 2008: 83-85
Sidi ben Ghayada	35.441182	11.034171	Just south of Mahdia	Tunisia	AfricaProconsularis	Sandstone; used locally in the RomanImperial period	Paskoff and Trousset 2004: 150
Sidi Daoud	37.021389	10.910278	Just west of the tip ofCap Bon	Tunisia	AfricaProconsularis	Sandstone; used locally in the RomanImperial period	Paskoff and Trousset 2004: 187
Sidi Hamza	34.833742	-1.158394	Just south of Siga, south of Ain-Tekbalet	Algeria	MauretaniaCaesariensis	Marble; used locally in the RomanImperial period	Gsell 1911: 42.73
Sidi Mechrig	37.195278	9.168889	Just west of Cap Serrat	Tunisia	AfricaProconsularis	Sandstone; used locally in the RomanImperial period	Paskoff and Trousset 2004
Sidi Moussa / Gebel Tuch	26.417778	31.834167	Near to ancient Ptolemais, 10 km north of Girga	Egypt	Aegyptus	Fine white limestone; used locally from the Ptolemaic to Roman period	Fitzler 1910: 107; Dworakowska1983: 49 n.61; Klemm and Klemm2008: 130-135
Sidi-Abd-el- Basset	36.924925	9.659118	In the Northern Tell	Tunisia	AfricaProconsularis	Limestone; used locally in the RomanImperial period	Peyras 1991: 97-100
Sidon	33.562582	35.368690	In and around the city ofSidon	Lebanon	Syria	Gypsum, limestone and sandstone, used locally in the Roman period	Badawi 2002
Sierra de lasCabras	36.966901	-4.455604	South-east of Antequera	Spain	Baetica	Cream-white limestone and red and yellow brecciated limestone, exported regionally in the Roman period	Beltrán et al. 2012
Sierra deMondúber	38.954123	-0.184736	Just south of Valencia	Spain	Tarraconensis	Limestone; used locally in the RomanImperial period	Cisneros Cunchillos 1988
Sierra de Paloma Alta-San Bartolomé	36.072425	5.731840	4-5 km east of BaeloClaudia, near Cadiz	Spain	Baetica	Bioclastic conglomerate, used locally in the Roman period	Domínguez-Bella 2009
Sierra Elvira	37.231209	-3.673391	Just north-west ofGranada	Spain	Baetica	Green marble; used locally in theRoman Imperial period	Cisneros Cunchillos 1988
Sierra Traviesa	37.688648	-5.791778	5 km west of Munigua	Spain	Baetica	Limestone; used locally in the RomanImperial period	Schattner and Ovejero 2008
Silchester	51.353611	-1.100278	Near Reading, Berkshire	Britain	Britannia	Limestone; used locally in the RomanImperial period	Blagg 1990
Šilo	43.854466	15.228576	In the Kornti archipelago	Croatia	Dalmatia	Limestone; used locally in the RomanImperial period	Škegro 2006: 161-162
Sint-Pietersberg	50.831125	5.666787	Near Maastricht	Netherlands	GermaniaInferior	Limestone; used locally in the RomanImperial period	Bedon 1984
Sintra	38.798644	-9.385747	23 km north-west ofLisbon	Portugal	Lusitania	Pink-red limestone, used locally and exported regionally in the Roman period	Fusco and Mañas 2006; Nogles, Rodrigues and Lapuente 2008
Sivečki	41.352616	21.562319	Just outside Prilep	Macedonia	Macedonia	Coarse-grained grey marble; used locally and probably exported regionally in the Roman Imperial period	Tomović 1993: 21
Sığacik	38.178056	26.787500	Near the village ofSığacik, close to Teos	Turkey	Asia	Grey marble; used locally in the Roman Imperial period and possibly earlier	Ballance 1966
Sıvaslı	38.526944	29.656111	South-east of Uşak, close to ancient Sebaste, Phrygia	Turkey	Asia	Grey-white marble; used locally in theRoman Imperial period	Pralong 1980; Asgari 1981
Skopačnik	46.052503	14.506344	In the territory of Emona(Ljubljana)	Slovenia	PannoniaSuperior	Limestone; used locally in the RomanImperial period	Djurić 1997
Smadah	36.892231	9.409671	In the Northern Tell	Tunisia	AfricaProconsularis	Limestone; used locally in the RomanImperial period	Peyras 1991: 404
Šmartno	46.127070	14.476114	In the Pohorje	Slovenia	PannoniaSuperior	White marble; used locally in the Roman Imperial period and exported regionally	Djurić 1997
Smokovenjak	43.854466	15.228576	In the Kornti archipelago	Croatia	Dalmatia	Limestone; used locally in the RomanImperial period	Škegro 2006: 161-162
Söğüt	40.021111	30.185833	In the Sagarius Valley, Bithynia	Turkey	Bithynia etPontus	Marble; used locally in the RomanImperial period and possibly earlie	Dodge 1988: 71
Solb ech Chergui	33.236904	11.378039	South-east of Jerba	Tunisia	AfricaProconsularis	Sandstone; used locally in the RomanImperial period	Paskoff and Trousset 2004: 94
Sölk	47.201379	14.150371	Western Styria	Austria	Noricum	White marble; used locally in theRoman Imperial period	Djurić abd Müller 2009
Solothurn	47.206991	7.533266	South of Basel	Switzerland	GermaniaSuperior	Tuff; used locally in the RomanImperial period	Staehelin 1948: 425
Sost	42.928611	0.556944	West of Saint-Béat	France	Aquitania	Marble; used locally in the Roman Imperial period and probably exported regionally	Bedon 1984: 66, 77
Sounine	37.198889	10.159167	On the coast north ofTunis	Tunisia	AfricaProconsularis	Sandstone; used locally in the RomanImperial period	Paskoff and Trousset 2004: 198
Sparta	37.082222	22.423611	Central Lakonia	Greece	Achaia	Dark green marble (breccia verde di Sparta) with fragments of granite and porphyry, mainly green or grey in colour; probably used in Roman Imperial period but rare before Late Antiquity when exported inter- regionally	Mielsch 1985: 66-67
Spitzelofen	46.819406	15.174473	South-west of Graz	Austria	Noricum	White marble; used locally in theRoman Imperial period	Djurić 1997
Stabia	40.693856	14.486194	6 km south of Pompeii	Italy	Italia I	Grey tuff, used locally	Kastenmeier et al. 2010
Stagira	40.529982	23.750854	On the eastern side of theChersonnesus	Greece	Macedonia	Dark-grey, black marble; used locally in the Roman Imperial period	Bruno and Pallente 2002
Staje	45.959215	14.512268	In the territory of Emona(Ljubljana)	Slovenia	PannoniaSuperior	Limestone; used locally in the RomanImperial period	Djurić 1997
Stratonikeia	37.311389	28.064722	Near ancientStratonikeia, Karia	Turkey	Asia	White marble; used locally from theClassical period	Waelkens, de Paepe and Moens 1986
Stražišće	42.940089	17.192358	On Brač Island	Croatia	Dalmatia	Limestone; used locally and exported regionally in the Roman period	Dworakowska 1983: 21-22
Styra	38.149722	24.259722	South-eastern Euboea	Greece	Achaia	Green-grey and white streaked marble (cipollino); used locally from the Classical period but only exported widely in the Roman Imperial	Papageorgakis 1963; Vanhove 1989; Vanhove 1996
Suas	36.716135	9.576426	In the Northern Tell	Tunisia	AfricaProconsularis	Limestone; used locally in the RomanImperial period	Peyras 1991: 404
Sutvara	42.940089	17.192358	Island near Korčula	Croatia	Dalmatia	Limestone; used locally in the Roman Imperial period and possibly exported regionally	Gjivoje 1970: 71-73: and Fisković1971: 143-144
Sv. Ana	45.970774	14.422268	In the territory of Emona(Ljubljana)	Slovenia	PannoniaSuperior	Limestone; used locally in the RomanImperial period	Djurić 1997
Syracuse	37.072500	15.285278	South-eastern Sicily	Italy	Sicilia	Grey-white limestone; used locally from at least the Classical period	Wilson 1990: 239-240
Taillebourg	45.835278	-0.646111	North of Saintes	France	Aquitania	Limestone; used locally in the RomanImperial period	Bedon 1984: 35, 84-89
Taormina	37.852500	15.288611	North-east Sicily	Italy	Sicilia	Two varieties of limestone, one white- grey and one a red-pink breccia (marmo rosso di Taormina); used locally in the Roman Imperial period and possibly earlier	Wilson 1990: 239-240
Tarifa	36.010000	-5.603056	Cadiz province	Spain	Baetica	Limestone; used locally in the RomanImperial period	Canto 1977-1978; Mayer and Rodà1998
Tarragona	41.118611	1.233333	North-east Catalonia	Spain	Tarraconensis	Limestone (pedra del Médol), used locally in Roman period	Cisneros Cunchillos 1988; Mayer1998; Mayer and Rodà de Llanza1998: 229; Gutiérrez 2009: 176–80
Taskisiği	40.828670	30.448822	Near Adapazari inBithynia	Turkey	Bithynia etPontus	Pink-orange marble (occhio di pavone rosso or occhio di pavone pavonazzo) with white veins and light grey shades; exported inter-regional in the Roman Imperial period but in small quantities	Mielsch 1985: 42; Gnoli 1988: 206-209; Ward-Perkins 1980a, 23; Ward- Perkins 1980b, 325; Monna and Pensabene 1977: 74-77
Tautavel	42.813611	2.745556	North-west of Perpignan	France	Narbonensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 64-65
Techirghiol	44.058115	28.596067	South of Constanţa	Romania	MoesiaInferior	Limestone; used locally in the RomanImperial period	Rădulescu 1972
Tehna	28.168611	30.768889	10 km north of Minia	Egypt	Aegyptus	Limestone; used locally from the Pharaonic period and certainly in the Ptolemaic and Roman period	Klemm and Klemm 2008: 68-69
Tendu	46.644429	1.557871	Near Saint-Marcel and Argenton-sur-Creuse (Argentomagus)	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Coulon and Tardy 1997: 199
Tentschach	46.680797	14.273755	Carinthia	Austria	Noricum	Limestone; used locally in the RomanImperial period	Dworakowska 1983: 19
Tenuta diCappannacce	41.941590	12.638645	Along the Aniene nearSalone	Italy	Italia I	Tuff (tufo lionato or tufo dell'Aniene); used locally from the Republican period, primarily at Rome	Jackson and Marra 2006
Tepeler	43.314899	27.333188	Near ancient Marcianopolis, inland from Odessos	Bulgaria	Thracia	Limestone; used locally in the RomanImperial period	Dworakowska 1983
Teucheira	32.540556	20.569722	Modern Tocra, east ofBenghazi	Libya	Creta etCyrene	Limestone; used locally from at least the Hellenistic period	Personal observation
Theux	50.535177	5.813131	South-east of Liège and south-west of Aachen	Belgium	GermaniaInferior	Black limestone; used locally and exported regionally in the Roman period	Groessens 1991
Thorikos	37.738056	24.053611	South-east Attica	Greece	Achaia	Marble; used locally from at least theClassical period	Higgins and Higgins 1996
Thunigaba	36.929065	9.257724	In the Northern Tell	Tunisia	AfricaProconsularis	Limestone; used locally in the RomanImperial period	Peyras 1991: 404
Tiffen	46.708350	14.058127	East of Puch and south- west of Tentschach	Austria	Noricum	White marble; used locally in theRoman Imperial period	Djurić 1997
Tilal-Sawda	28.250537	30.542874	North-west of El-Minya	Egypt	Aegyptus	Basalt, used locally in the Roman period	Storemyr et al. 2009: 252-254
Tintry	46.929658	4.495091	South-east of Autun	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 113
Tivoli	41.980278	12.798056	Ancient Tibur	Italy	Italia I	Tuff; used locally from the Republican period, primarily at Rome	Heiken, Funiciello and De Rita 2005
Tönisstein	50.454477	7.298521	In the Brohl valley	Germany	GermaniaSuperior	Tuff; used locally in the RomanImperial period	Bedon 1984: 185, 213-216
Toprak Alinmis	38.435465	26.593554	Just north of Balıklıova on the Karaburum peninsula	Turkey	Asia	Pink-red and white marble (breccia corallina), perhaps exported regionally in the Roman period	Bruno et al. 2012
Tor Cervara	41.923611	12.588056	Along the Aniene nearSalone	Italy	Italia I	Tuff (tufo lionato or tufo dell'Aniene); used locally from the Republican period, primarily at Rome	Heiken, Funiciello and Di Rita 2005
Torbali	38.177480	27.304260	Near Metropolis, 25 km north of Ephesos	Turkey	Asia	White marble, used locally in theRoman period	Yavuz, Bruno and Attanasio 2011
Torre d’en Dolça	41.100965	1.157990	7 km west of Tarragona	Spain	Tarraconensis	Limestone (soldó), used locally in theRoman period	Gutiérrez 2009: 169–73
Torre Ovo	40.297068	17.503865	20 km south-east ofTaranto	Italy	Italia II	Limestone; used locally in the RomanImperial period	Calia et al. 2002
Töschling	46.634880	14.112610	West of Klagenfurt	Austria	Noricum	White marble; used locally and exported regionally in the Roman period	Djurić 1997; Djurić and Müller 2009
Toubia	36.949865	9.650879	In the Northern Tell	Tunisia	AfricaProconsularis	Limestone; used locally in the RomanImperial period	Peyras 1991: 404
Toulouse	43.605556	1.442500	On the Garonne just north of the central Pyrenees	France	Narbonensis	Limestone; used locally from basic construction in the Roman period	Bedon 1984: 63-64
Tournai	50.604481	3.389777	East of Lille	Belgium	Belgica	Black limestone; used locally and exported regionally in the Roman period	Groessens 1991
Tournus	46.564441	4.907610	South-east of Saint-Boil	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 78, 89
Trapani	38.016667	12.538889	Ancient Drepanum, western Sicily	Italy	Sicilia	Hard grey limestone; used locally in the Roman Imperial period.	Wilson 1990: 239-240
Treffen	46.668323	13.854338	South-east of Tiffen	Austria	Noricum	White marble; used locally in theRoman Imperial period	Djurić 1997
Trept	45.687330	5.321615	West of Fay	France	Narbonensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 33
Tres Boukes	38.771111	24.612500	On the southern coast ofSkyros	Greece	Achaia	Marble breccia (marmor scyrium, settebassi or breccia di sciro) consisting of long fragments of white,grey, pink and yellow; widely exported in the Roman Imperial period	Mielsch 1985: 47; Gnoli 1988: 232-235; Dwarakowska 1975; Bruno2002c
Trets	43.447222	5.685000	North-east of Marseille	France	Narbonensis	Limestone breccia; used locally in theRoman Imperial period	Mazeran 1999
Trigaches	38.088540	-7.971786	Just north of Beja	Portugal	Lusitania	Grey marble, used locally in theRoman period	Fusco and Mañas 2006; Fusco andMañas 2008: 510–13
Tripoli	34.452089	35.812438	In and around the city ofTripoli	Lebanon	Syria	Sandstone, used locally in the Roman period	Badawi 2002
Trogir	43.526816	16.226421	North-west of Split, central Dalmatia	Croatia	Dalmatia	Limestone; used locally and exported regionally in the Roman period	Bulić 1908; Wilkes 1969: 388; Dworakowska 1983: 21-22; Maršić2007
Trujillo	37.610076	-0.978872	Near Cartagena	Spain	Tarraconensis	Grey marble, used locally in theRoman period	Soler 2008; Arana et al. 2012
Tuccabor	36.706978	9.521414	In the Northern Tell	Tunisia	AfricaProconsularis	Limestone; used locally in the RomanImperial period	Peyras 1991: 404
Tuna el-Gebel	27.701111	30.683333	On the west bank of the Nile, 12 km west of Mallawi	Egypt	Aegyptus	Limestone; used locally in thePtolemaic and Roman periods	Klemm and Klemm 2008: 94-96
Turgut	38.259587	26.807253	7 km north of Teos	Turkey	Asia	Black, red, and white breccia (africano), probably exported inter- regionally in the Roman period	Bruno et al. 2012
Tuscolo	41.798333	12.708611	On the northern side of the Alban Hills	Italy	Italia I	Tuff (tufo di Tuscolo); used locally from the Republican period, primarily at Rome	Jackson and Marra 2006
Tyre	33.270556	35.203889	On the coast in the southern Lebanon	Lebanon	Syria	Limestone; used locally in the RomanImperial period and earlier	Mentioned in Statius, Silvae I.5.39
Ulupınar	38.616014	29.804766	South-east of Uşak, near ancient Akmonia, in Phrygia	Turkey	Asia	Grey-white marble; used locally in theRoman Imperial period	Pralong 1980; Asgari 1981
Umm Huyut	26.809167	33.285556	Near Mons Claudianus, Eastern Desert	Egypt	Aegyptus	Mottled light grey and greenish black gneiss, virtually identical to the granite of Mons Claudianus; exported in the Roman Imperial period in small quantities	Harrell, Brown and Lazzarini 1999; Klemm and Klemm 2008: 291
Umm Shegilat	26.957398	33.257545	Eastern Desert, around20 km south of the road- station of Qattar, close to Mons Porphyrites	Egypt	Aegyptus	Large-grained black and white granite (granito della colonna); exported to Rome in the Roman Imperial period in small quantities	Mielsch 1985: 69; Gnoli 1988: 150-152; Klein 1988
Urfalidaği Tepesi	38.056850	27.437170	16 km north-east ofEphesos	Turkey	Asia	White marble, used locally in theRoman period	Prochaska and Grillo 2009; Yavuz, Bruno and Attanasio 2011
Uzali Sar	36.790508	9.675449	In the Northern Tell	Tunisia	AfricaProconsularis	Varieties of both marble and limestone;used locally in the Roman period	Peyras 1991: 404
Valdarno	43.681379	10.703806	Just south of Florence	Italy	Italia VII	Marble (pietra paesina); used locally in the Roman Imperial period	Bruno 2002b
Valence	44.930370	4.891757	On the Rhône, in theDrôme	France	Narbonensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 57
Valle deiManienti	43.086883	10.604674	Near CampigliaMarittima	Italy	Italia II	White marble, used locally and regionally in the Roman period	Cavari et al. 2012
Valsenestre	44.908749	6.054361	South-east of Grenoble, in the Alps	France	Narbonensis	Marble; used locally in the RomanImperial period	Bedon 1984: 77, 89; Blanc 1986
Vathia	36.443490	22.459238	On the Mani Peninsula	Greece	Achaia	Dark brown-red marble (rosso antico), in various shades, with occasional light grey veins; exported inter-regionally by at least the early Roman period	Gorgoni et al. 1992; Gorgoni, Lazzarini and Pallente 2002
Vazari	36.894125	9.615218	In the Northern Tell	Tunisia	AfricaProconsularis	Limestone; used locally in the RomanImperial period	Peyras 1991: 149
Verona	45.441389	10.996389	Just east of Lake Garda	Italy	Italia X	Red-pink marble breccia (breccia rosso di Verona); exported regionally insmall quantities in the Roman Imperial period	Bruno 2002b
Verzirhen	40.236111	30.014722	In the Sagarius Valley north of Bilecik, Bithynia	Turkey	Bithynia etPontus	Red and pink marble (breccia corallina) with white, pink and grey shades; used locally and probably exported regionally from the late 1st century BC	Mielsch 1985: 45-46; Gnoli 1988:238-240
Via Tiberina	42.101389	12.506667	Tiber valley, near Riano	Italy	Italia I	Tuff (tufo giallo della via Tiberina); used locally from the Republican period, primarily at Rome	Heiken, Funiciello and De Rita 2005
Viana	38.333362	-8.000397	Near Estremoz	Portugal	Lusitania	Green and white marble (verde Viana)similar to cipollino	Fusco and Mañas 2006; Nogles, Rodrigues and Lapuente 2008
Vienne	45.524987	4.870936	On the Rhône south ofLyon	France	Narbonensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 30-33, 116
Vila Viçosa	38.777778	-7.417222	Near Estremoz	Portugal	Lusitania	Pink-cream marble (rosa Portugues) with cloudy red patches and brown-red veins, similar to varieties of Portasanta; used locally and exported regionally in the Roman Imperial period	Canto 1977-1978: 179; Lamberto andSá Caetano 2008
Villebois	45.849121	5.434653	North-west of Peyrieu	France	Lugdunensis	Limestone; used locally from the middle of the 1st century AD	Bedon 1984: 29, 89
Villette	45.552307	6.599620	North-east of Grenoble, in the Alps	France	Alpes Graiae et Poeninae	Marble; used locally in the RomanImperial period	Bedon 1984: 56-57, 75
Vimines	45.546955	5.864874	Near Chambéry	France	Lugdunensis	Marble; used locally in the RomanImperial period	Bedon 1984: 57
Volos	39.364444	22.933333	South-eastern Thessaly	Greece	Achaia	Marble; used locally from the Classical or Hellenistic period	Personal observation
Vrgada	43.855038	15.501182	In the Zadar islands, nearPasman	Croatia	Dalmatia	Limestone; used locally in the RomanImperial period	Škegro 2006: 161-162
Vrnik	42.937316	17.169249	Island near Korčula	Croatia	Dalmatia	Limestone; used locally in the Roman Imperial period and possibly exported regionally (it certainly was later)	Gjivoje 1970: 71-73; Fisković 1971:143-144
Wadi Abu Gerida	26.354839	33.284331	10 km north-west of Maghrabiya, Eastern Desert	Egypt	Aegyptus	Purple porphyry (porfido rosso laterizio) with lighter flecks; exported in tiny quantities in the Roman Imperial period	Harrell 2005
Wadi Atalla / Wadi Um Esh	26.051389	33.601111	88 km east of Quft, Eastern Desert	Egypt	Aegyptus	Green serpentine (serpentina moschinata) with swirls of dark blue, grey, white and brown veins; exported from Pharaonic period but always in small quantities	Gnoli 1988: 159; Mielsch 1985: 63; Klemm and Klemm 2008: 294-295
Wadi Bârud	26.784167	33.516944	10 km south-east of Mons Claudianus, Eastern Desert	Egypt	Aegyptus	Medium-grained white granite (granito bianco e nero) with angular black inclusions; exported in Roman Imperial period but in small quantities	Mielsch 1985: 69; Gnoli 1988: 150; Klein 1988; Klemm and Klemm 2008:290-291
Wadi Hammâmât(Mons Basanites)	25.469167	33.552222	83 km east of Quft, Eastern Desert	Egypt	Aegyptus	Marble breccia (breccia verde d’Egitto or hecatontalithos) and greywacke (pietra Bekhen or basanites), both dark green with shades of grey-brown, the former sometimes with yellow, red, white inclusions; exported in Roman Imperial period but very rare	Mielsch 1985: 64; Gnoli 1988: 111-121; Kraus 1975-1976; Lucas and Harris 1962: 407-408; Harrell, Brown and Lazzarini 1999; Harrell, Brown and Lazzarini 2002; Klemm and Klemm 2008: 297-311
Wadi Lebda	32.634722	14.293056	Near ancient LepcisMagna	Libya	AfricaProconsularis	Yellow-white limestone; used at LepcisMagna from the Punic period	Chiesa 1949: 26
Wadi Maghrabiya	26.344166	33.421149	North of Wadi Hammâmât, Eastern Desert	Egypt	Aegyptus	Four varieties of gabbro, all with shades of grey, green and black but differing in coarseness; exported in the Roman Imperial period in small quantities	Sidebotham 1996: 189-190; Harrell, Brown and Lazzarini 1999
Wadi Semna/Wadi Wikala	26.433611	33.652222	50 km south-west ofSafaga, Eastern Desert	Egypt	Aegyptus	Several varities of dark green granite with white or light grey inclusions (grantio verde della sedia di San Pietro or ophytes and granito verde dellasedia di San Lorenzo); exported in Roman Imperial period, predominately to Italy	Mielsch 1985: 804-806; Gnoli 1988:154-157; Sidebotham et al. 2001; Klemm and Klemm 2008: 291-294
Wadi SheikhYasin	28.050556	30.835278	Just south of El-Minya	Egypt	Aegyptus	Limestone; used locally in the Pharaonic, Ptolemaic and Byzantine period and, therefore, probably also in the Roman period	Klemm and Klemm 2008: 77
Wadi UmmBalad	27.132739	33.278910	Just south of Mons Porphyrites, Eastern Desert	Egypt	Aegyptus	Fine-grained green-grey granite (granito verde fiorito di bigio) with white inclusions; exported in Roman Imperial period, predominantly to Rome	Mielsch 1985: 70; Gnoli 1988: 159-60
Wadi UmmTowat	27.152425	33.220376	Just south-west of Mons Porphyrites, Eastern Desert	Egypt	Aegyptus	Dark grey serpentine (porfido serpentine nero) with a green shade and white flecks; exported in the Roman Imperial period but very rare	Gnoli 1988: 139; Mielsch 1985: 65; Meredith 1952
Water Newton	52.560833	-0.364167	North-westernCambridgeshire	Britain	Britannia	Limestone; used locally in the RomanImperial period	Pearson 2006
Weldon	52.495733	-0.637056	Northamptonshire, between Peterborough and Leicester	Britain	Britannia	Limestone; used locally in the Roman Imperial period and exported regionally	Blagg 1990
Wetheral	54.884167	-2.834444	Near Carlisle, Cumbria	Britain	Britannia	Limestone; used locally in the RomanImperial period	Pearson 2006; Collingwood andWright 1965
Widan el-Faras	29.659096	30.623560	Near Gebel Qatrani, north of the Fayum	Egypt	Aegyptus	Basalt, used locally in the Roman period	Storemyr et al. 2009: 248-251
Winden	47.952751	16.752678	40 km south-east ofVienna, Austria	Austria	PannoniaSuperior	Lunachella limestone, used locally in the Roman period	Pivko 2012
Windisch	47.478651	8.220164	Ancient Vindonissa	Switzerland	GermaniaSuperior	Grey-white limestone; used locally in the Roman Imperial period	Staehelin 1948: 425
Wolfsthal	48.136102	17.005259	Just east of Carnuntum, Austria	Austria	PannoniaSuperior	Limestone, locally and regionally used in the Roman period	Pivko 2012
Wollanigberg	46.646363	13.816349	Just south-est of Puch, near Gummern	Austria	Noricum	White marble; used locally in theRoman Imperial period	Djurić 1997
Xylophagou	34.976944	33.849444	South-east Cyprus	Cyprus	Cyprus	Limestone; used locally in the RomanImperial period and probably earlier	Karageorghis 1969: 494
Yarhiv	32.151541	34.967989	North-east of Tel-Aviv	Israel	Judaea	Limestone; used locally in the RomanImperial period and probably earlier	Sumaka'I Fink 2000
Yazır	37.761963	28.711851	11 km south-west ofAphrodisias	Turkey	Asia	Blue-grey and white marble, used locally in the Roman period	Long 2012
Zawiet Sultan	28.067500	30.818056	Near El-Minya	Egypt	Aegyptus	Limestone; used locally in the Pharaonic, Ptolemaic and Byzantine period and, therefore, probably also in the Roman period	Klemm and Klemm 2008: 70-77
Zbidi	35.632084	11.009439	3.5 km west of Thapsus	Tunisia	AfricaProconsularis	Limestone; used locally in the RomanImperial period	Younès, Gaied and Gallala 2012
Zreče	46.369141	15.391631	In the Pohorje mountains	Slovenia	PannoniaSuperior	White marble; used locally and exported regionally in the Roman period	Braemer 1992: 12; Djurić 1997
